Data,All_A_SZ_Index_Increase,All_A_SZ_Volume,All_A_SZ_Main,All_A_SZ_Large,Total_Increase,Total_Decline,Total_Increase_limit,Total_Decline_limit,SH_Index_Increase,SZ_Index_Increase
2025/1/2,-1.86,13965,-,-592.49,925,4383,67,32,-2.66,-3.14
2025/1/3,-3.63,12676,-,-458.16,615,4726,55,111,-1.57,-1.89
2025/1/6,-0.47,10585,-,-220.63,2292,2932,68,91,-0.14,-0.12
2025/1/7,2.19,10765,-,108.07,4393,902,104,18,0.71,1.14
2025/1/8,-0.10,12428,-,-201.29,1978,3250,74,9,0.02,-0.54
2025/1/9,0.3,11118,-,-31.98,2728,2459,97,11,-0.58,0.32
2025/1/10,-2.67,11481,-,-348.09,536,4802,44,52,-1.33,-1.80
2025/1/13,0.21,9662,-,-150.98,3007,2180,52,41,-0.24,0.00
2025/1/14,4.57,13505,-,479.33,5333,38,157,3,2.54,3.77
2025/1/15,-0.41,11887,-,-345.00,1666,3554,81,10,-0.43,-1.03
2025/1/16,0.61,12931,-,-138.92,3368,1816,84,7,0.28,0.41
2025/1/17,0.13,11354,-,-78.26,2619,2535,65,16,0.18,0.60
2025/1/20,0.95,11828,-,-100.20,3617,1587,80,26,0.08,0.94
2025/1/21,-0.10,12177,-,-57.99,1985,3257,52,27,-0.05,0.48
2025/1/22,-1.02,11357,-,-263.34,1032,4261,48,26,-0.89,-0.77
2025/1/23,-0.16,13551,-,-212.18,2334,2795,46,29,0.51,-0.49
2025/1/24,1.16,12219,-,200.58,3956,1225,74,29,0.70,1.15
2025/1/27,-1.00,11177,-513.31,-477.93,1816,3422,45,48,-0.06,-1.33
2025/2/5,1.00,12894,35.56,-25.62,3433,1850,83,45,-0.65,-0.08
2025/2/6,2.21,15352,445.03,212.78,4801,471,101,4,1.27,2.26
2025/2/7,1.32,19598,56.15,-73.89,4169,1088,93,2,1.01,1.75
2025/2/10,1.75,17305,-139.09,-148.95,4146,1110,140,2,0.56,0.52
2025/2/11,-0.31,16357,-618.49,-572.50,1834,3418,84,2,-0.12,-0.69
2025/2/12,1.02,16768,-36.13,127.99,3560,1568,95,2,0.85,1.43
2025/2/13,-0.95,18195,-600.5,-561.3,1151,4112,74,7,-0.42,-0.77
2025/2/14,-0.95,17146,-110.97,-291.17,2400,2799,87,9,0.43,1.16
2025/2/17,1.23,19410,-340.27,-353.50,3675,1604,114,7,0.27,0.39
2025/2/18,-2.30,17988,-884.16,-862.56,731,4626,53,21,-0.93,-1.61
2025/2/19,2.15,17208,370.96,116.51,4645,591,120,4,0.81,1.46
2025/2/20,0.93,17563,-337.42,-310.79,3377,1842,107,1,-0.02,0.20
2025/2/21,0.88,21920,264.92,45.74,2872,2352,119,4,0.85,1.82
2025/2/24,0.34,20799,-591.80,-597.63,2778,2468,91,18,-0.18,-0.08
2025/2/25,-0.37,18964,-469.88,-476.88,1537,3735,65,7,-0.80,-1.17
2025/2/26,1.42,19380,51.90,-64.15,4250,1054,108,3,1.02,0.93
2025/2/27,-0.12,20042,-688.55,-766.46,2133,3095,90,12,0.23,-0.26
2025/2/28,-3.09,18666,-1162.90,-1113.16,570,4773,56,47,-1.98,-2.89
2025/3/3,0.45,16244,-177.06,-270.69,3223,1966,70,34,-0.12,0.36
2025/3/4,1.25,14353,52.41,-52.87,4050,1172,88,13,0.22,0.28
2025/3/5,0.24,14936,-140.14,-144.64,2358,2884,70,6,0.53,0.28
2025/3/6,1.73,19062,503.67,429.97,4275,974,118,5,1.17,1.77
2025/3/7,-0.46,18180,-675.57,-683.65,1714,3556,62,12,-0.25,-0.50
2025/3/10,0.56,15054,-315.41,-247.73,3279,1953,93,8,-0.19,-0.17
2025/3/11,0.45,14816,31.89,-110.38,2881,2282,93,8,0.41,0.33
2025/3/12,0.46,16835,-223.14,-69.42,2627,2560,94,2,-0.23,-0.17
